epoch,train_loss,val_loss,qwk,cat_acc,mae,balanced_acc,within_one_acc,spearman,ece,nll,cat_acc_0,cat_acc_1,cat_acc_2,cat_acc_3,cat_acc_4
11,1.75763319787525,1.7421391010284424,0.7568641015969266,0.4801242984831333,0.7004738375544548,0.4492111165076494,0.8501253500580788,0.7300434478990747,0.05752761196345091,1.1928843557834625,0.7149701490998268,0.2675039581954479,0.26716164126992226,0.2611506674438715,0.7352691665291786
12,1.7492406538554601,1.731933817267418,0.7591073420642501,0.4838648959994316,0.695176400244236,0.4525603801012039,0.8517955020070076,0.726738394883924,0.05632324796169996,1.1890808641910553,0.7298883646726608,0.26596396043896675,0.27244188636541367,0.2603936903178692,0.7341139987111092
13,1.7399516465171936,1.7225502729415894,0.7604140550834158,0.48425544798374176,0.6924969777464867,0.453206579759717,0.8532471135258675,0.7299275179061394,0.0526140658184886,1.1828950345516205,0.7233028337359428,0.26459631137549877,0.2769942209124565,0.2641793303191662,0.7369602024555206
14,1.7325933282337491,1.722020372748375,0.7605484654324606,0.4844861961901188,0.6926667466759682,0.4533049244433642,0.8523526638746262,0.7329926799070379,0.055678927805274725,1.1851618736982346,0.714363120496273,0.2651802822947502,0.2784920819103718,0.26163395307958126,0.7468551844358444
15,1.7240985669786968,1.7093599438667297,0.7642206071194675,0.4869523085653782,0.6866883710026741,0.4559860169887543,0.8549230322241783,0.7316825746427238,0.05437679449096322,1.1788819283246994,0.7409921362996101,0.2642438504844904,0.27921318635344505,0.2685907054692507,0.7268902063369751
16,1.7154440860899667,1.6991758942604065,0.7672198722650703,0.48716284334659576,0.6791542246937752,0.45662710815668106,0.8604221642017365,0.7416689043334247,0.050887882709503174,1.1711183786392212,0.699262335896492,0.27561865374445915,0.2890620306134224,0.2673989199101925,0.7517936006188393
17,1.702352554079086,1.6926538050174713,0.7697624658450101,0.48924553021788597,0.6752839237451553,0.45940668955445285,0.8608268573880196,0.7407753462130251,0.047979879193007946,1.1673982590436935,0.7530160620808601,0.2725367844104767,0.29479582235217094,0.2739074379205704,0.7027773410081863
18,1.695996840794881,1.6803155839443207,0.7714250488913057,0.4925570860505104,0.6727623865008354,0.4612760581076145,0.8608881309628487,0.7408508112485281,0.05569244734942913,1.1666826158761978,0.7518578320741653,0.2697785347700119,0.2860746942460537,0.26959117501974106,0.7290780544281006
19,1.6859467464780051,1.6734604984521866,0.7727478719712938,0.4950985945761204,0.667421855032444,0.46411947570741174,0.8631043881177902,0.7423412159610447,0.05100889131426811,1.162366807460785,0.7324374839663506,0.2745666690170765,0.299450121819973,0.27183264680206776,0.742310456931591
20,1.677141687226674,1.6681100130081177,0.7734876917614455,0.4934021830558777,0.6680700704455376,0.4621880114078522,0.8631319552659988,0.7437481261565958,0.056172740180045366,1.1608250886201859,0.7362719848752022,0.2694844491779804,0.2961362861096859,0.2724625915288925,0.7365847453474998
