experiment,r_alpha,r_beta_mean,r_theta,r_beta_thresholds
large_q500_k6_dkvmn_ordinal,0.5771941816340987,0.9343597745301231,0.9520923101581487,"0.9149,0.9465,0.9472,0.9354,0.9278"
large_q500_k6_dkvmn_softmax,,,4.630398387078368e-17,"nan,nan,nan,nan,nan"
large_q500_k6_dynamic_gpcm,0.25710705051178023,0.9475674267335249,0.02737605408466206,"0.9392,0.9536,0.9554,0.9520,0.9377"
large_q500_k6_static_gpcm,0.06358011821752704,0.8608757303357824,0.06029125409180282,"0.8549,0.8576,0.8635,0.8678,0.8606"
q1000_k2_linear_decay,0.4799077351601308,0.4933327565098854,0.8713323124929391,0.4933
q1000_k2_separable,0.6413419450887955,0.6565366947907725,0.8854838794294698,0.6565
q1000_k2_static_item,0.4226274772138329,0.7321037565788439,0.8690100128278976,0.7321
q1000_k3_linear_decay,0.5515059718788474,0.7731439643306168,0.9365664980043388,"0.7561,0.7902"
q1000_k3_separable,0.6334767205717694,0.7468244923325766,0.9238122372439114,"0.6957,0.7980"
q1000_k3_static_item,0.7392065021098647,0.8466108922918005,0.9178432105892547,"0.8479,0.8454"
q1000_k4_linear_decay,0.19800578077598158,0.8297850586774892,0.9543318246955999,"0.7733,0.8480,0.8681"
q1000_k4_separable,0.717727146660104,0.9133836549253066,0.9464232681616042,"0.9037,0.9222,0.9143"
q1000_k4_static_item,0.6177923667459368,0.8763136809912497,0.9321763090277531,"0.8355,0.8945,0.8990"
q1000_k5_linear_decay,0.26903920323669145,0.8799338578880778,0.9587850878480866,"0.8277,0.9035,0.9049,0.8836"
q1000_k5_separable,0.6443118528047711,0.9400105474688703,0.9572057142133599,"0.9313,0.9550,0.9500,0.9237"
q1000_k5_static_item,0.5482587545577676,0.9026836862202263,0.9416770004363813,"0.8939,0.9189,0.9142,0.8837"
q1000_k6_linear_decay,0.05608492913132207,0.9184331979041745,0.9658001589241655,"0.8669,0.9158,0.9383,0.9429,0.9283"
q1000_k6_separable,0.5075166296841431,0.9432049966922049,0.9618210211377332,"0.9229,0.9534,0.9590,0.9522,0.9285"
q1000_k6_static_item,0.7023692922459231,0.9132894455508691,0.9522855454983116,"0.9023,0.9272,0.9327,0.9207,0.8835"
q2000_k2_linear_decay,0.09216726662973428,0.653649691006074,0.9281463217778533,0.6536
q2000_k2_separable,0.21509376870115607,0.7011908694004437,0.9305611433984728,0.7012
q2000_k2_static_item,0.2993661373061697,0.7320252372410785,0.9230949031837151,0.7320
q2000_k3_linear_decay,0.06945963310550317,0.7593926149529526,0.9608504786660041,"0.7069,0.8119"
q2000_k3_separable,0.45266405972230855,0.6741511501833969,0.9612062875478382,"0.6553,0.6930"
q2000_k3_static_item,0.49134324323584805,0.7098598046523646,0.9561244870428359,"0.6789,0.7408"
q2000_k4_linear_decay,0.8023535655125689,0.8338220317043109,0.9837815654294633,"0.8991,0.8668,0.7355"
q2000_k4_separable,0.7725843899193281,0.8728703279350208,0.9813053821569265,"0.8773,0.9046,0.8367"
q2000_k4_static_item,0.8561294456944122,0.9239341365707253,0.9782475177231006,"0.9274,0.9413,0.9031"
q2000_k5_linear_decay,0.21618567257079285,0.9014603663318728,0.9759017894094453,"0.8564,0.9021,0.9275,0.9198"
q2000_k5_separable,0.2746447548913127,0.9093436340815342,0.9707166117503394,"0.8745,0.9177,0.9287,0.9165"
q2000_k5_static_item,0.3512259419446855,0.9236154808720901,0.967707865279297,"0.9029,0.9378,0.9371,0.9166"
q2000_k6_linear_decay,0.07385605440460814,0.9192387179439002,0.9786497824472249,"0.8790,0.9226,0.9408,0.9339,0.9199"
q2000_k6_separable,0.21528679113573296,0.9321085598034926,0.975525774652216,"0.9024,0.9354,0.9433,0.9475,0.9320"
q2000_k6_static_item,0.28155472432943957,0.9331163777476696,0.9729069010046506,"0.9116,0.9443,0.9467,0.9404,0.9226"
q200_k2_linear_decay,0.7714048170464082,0.7072930933895626,0.9021145879469478,0.7073
q200_k2_separable,0.8418554131193863,0.6568182438883438,0.8970748204594399,0.6568
q200_k2_static_item,0.8109519629042139,0.806213658833006,0.8838202065422672,0.8062
q200_k3_linear_decay,0.5070142848399201,0.7508165363031747,0.9409246327789734,"0.7585,0.7431"
q200_k3_separable,0.5863689894560958,0.6298059580087136,0.9264020179482527,"0.6005,0.6591"
q200_k3_static_item,0.7544507962730773,0.8159802888292385,0.9169348348197784,"0.8143,0.8177"
q200_k4_focal_only,0.5334902296121673,0.8643744999591534,0.9342650876384578,"0.8208,0.8835,0.8889"
q200_k4_imbalance_balanced,0.7769994517358578,0.9271810599250477,0.9408764478437359,"0.9332,0.9392,0.9091"
q200_k4_imbalance_extreme,0.543337532797627,0.8285745491342352,0.8771494056321913,"0.8443,0.8478,0.7936"
q200_k4_imbalance_mild,0.7363385405325835,0.9086093840682005,0.9313148288362705,"0.9104,0.9267,0.8887"
q200_k4_imbalance_severe,0.6407808123087775,0.8437655390915654,0.8963504147571554,"0.8760,0.8750,0.7803"
q200_k4_linear_decay,0.31869256645880817,0.860841061588752,0.9543621931231955,"0.8326,0.8754,0.8745"
q200_k4_separable,0.738832499793298,0.8716213140611232,0.9501955158600192,"0.8888,0.8708,0.8553"
q200_k4_static_item,0.7068794681843245,0.9183753035385854,0.9385913712130458,"0.9225,0.9292,0.9034"
q200_k4_unconstrained,0.6755538656831577,0.6844897727707266,0.9326666050426254,"0.5444,0.7413,0.7678"
q200_k4_wol_only,0.7308088199233841,0.922968514581055,0.9372209705964585,"0.9261,0.9301,0.9127"
q200_k5_linear_decay,0.6226737611256377,0.7982240747832803,0.9621347849237697,"0.8459,0.8371,0.7706,0.7393"
q200_k5_separable,0.74826737202548,0.8850864234686779,0.9584989017657498,"0.8799,0.8953,0.8856,0.8796"
q200_k5_static_item,0.745623614370995,0.912178304659148,0.9458396814253066,"0.9133,0.9286,0.9215,0.8853"
q200_k6_linear_decay,0.7071178855661553,0.9257160094052157,0.9632468566526612,"0.9168,0.9342,0.9386,0.9229,0.9162"
q200_k6_separable,0.7429007083917508,0.9187836075932942,0.9587632288780661,"0.9075,0.9375,0.9307,0.9135,0.9047"
q200_k6_static_item,0.7594400763519986,0.9268976675531077,0.9480336900250114,"0.9413,0.9467,0.9341,0.9144,0.8980"
q500_k2_linear_decay,0.7384287612100794,0.750571019412904,0.8927240711377432,0.7506
q500_k2_separable,0.693744408178146,0.6339488640580977,0.8807156560356455,0.6339
q500_k2_static_item,0.741396701839611,0.7375542790006121,0.8671731898790258,0.7376
q500_k3_linear_decay,0.5557389709594239,0.8026157108697611,0.9405028105499756,"0.8088,0.7964"
q500_k3_separable,0.7846782097856743,0.8732498506470572,0.9367707696625531,"0.8847,0.8618"
q500_k3_static_item,0.755656260122884,0.8565193995589686,0.9180006691419665,"0.8593,0.8538"
q500_k4_linear_decay,0.4192192478965844,0.8179907496894665,0.9566066367027254,"0.8031,0.8140,0.8370"
q500_k4_separable,0.7989995995365797,0.821533308269999,0.9493046492761155,"0.8190,0.8316,0.8140"
q500_k4_static_item,0.7848788877315171,0.9016730395938678,0.9379171306075553,"0.9032,0.9171,0.8847"
q500_k5_linear_decay,0.4089274901050168,0.8545809485173861,0.9600745046331814,"0.8316,0.8719,0.8607,0.8542"
q500_k5_separable,0.8060898268441439,0.9307957842801762,0.95765236323888,"0.9209,0.9425,0.9405,0.9193"
q500_k5_static_item,0.6864224452302681,0.9144082542547209,0.9451639925651031,"0.8867,0.9267,0.9359,0.9083"
q500_k6_linear_decay,0.27056212705970795,0.9392852527548625,0.9680324058388048,"0.9100,0.9506,0.9490,0.9475,0.9392"
q500_k6_separable,0.6832926586936312,0.9342334942159267,0.967070251866398,"0.9251,0.9480,0.9533,0.9363,0.9084"
q500_k6_static_item,0.5771941814774019,0.9343597745328829,0.9520923101716753,"0.9149,0.9465,0.9472,0.9354,0.9278"
